topic,unified_time_s,time_source,frame_id,angle_min,angle_max,angle_increment,time_increment,scan_time,range_min,range_max,ranges_count,intensities_count
/ouster/scan,1752754292.0202756,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754292.0205178,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754305.444331,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754305.4510727,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754305.451142,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754305.497669,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754305.4977512,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754305.4978323,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754305.5376601,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754305.5379581,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754305.537974,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754305.597295,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754305.5973594,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754305.5974998,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754305.6375265,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
/ouster/scan,1752754305.6388667,bag_minus_offset,os_lidar,-3.1415927410125732,3.1415927410125732,0.012271846644580364,9.765625145519152e-05,0.05000000074505806,0.10000000149011612,120.0,512,512
