unified_time_s,time_source,frame_id,latitude_deg,longitude_deg,altitude_m,status_code,service_code,cov_xx,cov_xy,cov_xz,cov_yx,cov_yy,cov_yz,cov_zx,cov_zy,cov_zz,covariance_type,x_local_m,y_local_m,z_local_m
1752754306.999622,header,sensor_box/imu_link,45.6444784,90.6185596,10888.056,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064008200436.383,2,-115410.9632460352,-88891.8639275602,-297.91699999999946
1752754307.249622,header,sensor_box/imu_link,45.373008299999995,90.129061,10786.737000000001,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064010120539.406,2,-152959.20827429977,-119111.7772251598,-399.23599999999897
1752754307.499622,header,sensor_box/imu_link,45.6468621,90.62143549999999,10888.946,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064008200436.383,2,-115190.35996366355,-88626.51165735636,-297.02700000000004
1752754307.7496223,header,sensor_box/imu_link,45.6480539,90.6228737,10889.391,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064010120539.406,2,-115080.03914558578,-88493.84108822851,-296.58200000000033
1752754307.9996223,header,sensor_box/imu_link,45.6492456,90.6243119,10889.835000000001,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064010120539.406,2,-114969.71832750896,-88361.1816510502,-296.137999999999
1752754308.2496223,header,sensor_box/imu_link,45.6504373,90.62575029999999,10890.28,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064008200436.383,2,-114859.3821679188,-88228.5222138719,-295.6929999999993
1752754308.4996223,header,sensor_box/imu_link,45.6516289,90.62718869999999,10890.725,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064010120539.406,2,-114749.0460083286,-88095.87390864313,-295.2479999999996
1752754308.7496223,header,sensor_box/imu_link,45.3802313,90.13755669999999,10789.433,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064010120539.406,2,-152307.5238255871,-118307.71654315946,-396.53999999999905
1752754308.9996223,header,sensor_box/imu_link,45.381434899999995,90.138973,10789.882,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064012040642.56,2,-152198.88290315476,-118173.73240404086,-396.09100000000035
1752754309.2496223,header,sensor_box/imu_link,45.1251709,89.68418849999999,10694.234,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064012040642.56,2,-187084.29389525251,-146700.91039268774,-491.7389999999996
1752754309.4996223,header,sensor_box/imu_link,45.1263856,89.6855842,10694.688,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064010120539.406,2,-186977.2331486311,-146565.69060722168,-491.28499999999985
1752754309.7496226,header,sensor_box/imu_link,45.1276003,89.6869801,10695.141,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064012040642.56,2,-186870.1570604973,-146430.47082175492,-490.83200000000033
1752754309.9996226,header,sensor_box/imu_link,45.128814999999996,89.68837599999999,10695.594000000001,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064012040642.56,2,-186763.08097236347,-146295.25103628886,-490.378999999999
1752754310.2496226,header,sensor_box/imu_link,45.1300296,89.6897721,10696.048,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-186655.9895427163,-146160.04238277095,-489.9249999999993
1752754310.4996226,header,sensor_box/imu_link,45.131244099999996,89.6911683,10696.501,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-186548.8904423139,-146024.84486120258,-489.47199999999975
1752754310.7496226,header,sensor_box/imu_link,45.1324586,89.69256449999999,10696.954,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-186441.7913419115,-145889.6473396335,-489.01900000000023
1752754310.9996226,header,sensor_box/imu_link,45.133673099999996,89.6939609,10697.407000000001,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064012040642.56,2,-186334.6768999957,-145754.44981806583,-488.5659999999989
1752754311.2496226,header,sensor_box/imu_link,44.875692799999996,89.2430782,10601.122,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-220920.79032014674,-174472.68544876165,-584.8510000000006
1752754311.4996226,header,sensor_box/imu_link,45.1361018,89.69675389999999,10698.314,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-186120.43267465173,-145484.0881707756,-487.65899999999965
1752754311.7496228,header,sensor_box/imu_link,45.1373161,89.69815059999999,10698.767,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-186013.2952204673,-145348.9129131056,-487.20600000000013
1752754311.9996228,header,sensor_box/imu_link,45.1385303,89.6995474,10699.22,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-185906.15009552575,-145213.74878738445,-486.7530000000006
1752754312.2496228,header,sensor_box/imu_link,45.1397445,89.70094429999999,10699.674,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-185798.99729982894,-145078.5846616633,-486.29899999999907
1752754312.4996228,header,sensor_box/imu_link,44.8818194,89.24995919999999,10603.409,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064015880849.262,2,-220392.9655745003,-173790.6754564677,-582.5640000000003
1752754312.7496228,header,sensor_box/imu_link,45.3994832,90.1602302,10796.618,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064017800952.809,2,-150568.29488060393,-116164.6048383563,-389.35499999999956
1752754312.9996228,header,sensor_box/imu_link,45.143386799999995,89.70513559999999,10701.033,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064015880849.262,2,-185477.49288819838,-144673.1256803471,-484.9400000000005
1752754313.2496228,header,sensor_box/imu_link,45.1446007,89.7065329,10701.486,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-185370.3094094748,-144537.9949504732,-484.48699999999917
1752754313.4996228,header,sensor_box/imu_link,45.4030914,90.1644845,10797.965,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064017800952.809,2,-150241.95789246226,-115762.94185167599,-388.0079999999998
1752754313.749623,header,sensor_box/imu_link,45.404294,90.16590269999999,10798.414,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-150133.17122565917,-115629.06903204792,-387.5589999999993
1752754313.999623,header,sensor_box/imu_link,45.4054966,90.1673211,10798.863,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064015880849.262,2,-150024.3692173427,-115495.19621241983,-387.1100000000006
1752754314.249623,header,sensor_box/imu_link,45.149456099999995,89.7121231,10703.298,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064015880849.262,2,-184941.4987870195,-143997.49429487588,-482.6749999999993
1752754314.499623,header,sensor_box/imu_link,45.150669799999996,89.71352089999999,10703.751,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-184834.2769545149,-143862.38582889966,-482.22199999999975
1752754314.749623,header,sensor_box/imu_link,45.1518835,89.7149189,10704.204,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064017800952.809,2,-184727.03978049697,-143727.27736292413,-481.76900000000023
1752754314.999623,header,sensor_box/imu_link,45.1530971,89.7163169,10704.657000000001,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-184619.80260647996,-143592.18002889745,-481.3159999999989
1752754315.249623,header,sensor_box/imu_link,45.154310699999996,89.717715,10705.11,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-184512.5577617058,-143457.08269487074,-480.8629999999994
1752754315.499623,header,sensor_box/imu_link,45.155524199999995,89.7191132,10705.563,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-184405.30524617643,-143321.9964927929,-480.40999999999985
1752754315.7496233,header,sensor_box/imu_link,45.1567376,89.7205116,10706.016,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-184298.0373891327,-143186.9214226639,-479.95700000000033
1752754315.9996233,header,sensor_box/imu_link,45.4327822,90.2103236,10809.047,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064021641160.293,2,-146725.75221041375,-112457.77711443085,-376.9259999999995
1752754316.2496233,header,sensor_box/imu_link,45.159164399999995,89.7233085,10706.922,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-184083.49400428997,-142916.77128240728,-479.0509999999995
1752754316.4996233,header,sensor_box/imu_link,45.1603777,89.7247072,10707.375,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-183976.2031349786,-142781.70734422782,-478.59799999999996
1752754316.7496233,header,sensor_box/imu_link,45.1615909,89.7261059,10707.828,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-183868.91226566723,-142646.6545379972,-478.14500000000044
1752754316.9996233,header,sensor_box/imu_link,45.162804099999995,89.72750479999999,10708.28,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-183761.60605484244,-142511.6017317673,-477.6929999999993
1752754317.2496233,header,sensor_box/imu_link,45.164017199999996,89.72890369999999,10708.733,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-183654.2998440177,-142376.5600574855,-477.2399999999998
1752754317.4996233,header,sensor_box/imu_link,45.4223271,90.1871896,10805.145,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064021641160.293,2,-148500.30498846833,-113621.63352262387,-380.8279999999995
1752754317.7496235,header,sensor_box/imu_link,45.4235289,90.18860959999999,10805.593,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064021641160.293,2,-148391.38024804968,-113487.84975858864,-380.3799999999992
1752754317.9996235,header,sensor_box/imu_link,45.4247306,90.1900296,10806.042,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064021641160.293,2,-148282.455507631,-113354.07712650225,-379.9310000000005
1752754318.2496235,header,sensor_box/imu_link,45.4259323,90.1914498,10806.49,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064023561264.234,2,-148173.51542569997,-113220.30449441586,-379.4830000000002
1752754318.4996235,header,sensor_box/imu_link,45.4271339,90.1928701,10806.939,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064023561264.234,2,-148064.5676730127,-113086.5429942783,-379.03399999999965
1752754318.7496235,header,sensor_box/imu_link,45.428335399999995,90.1942904,10807.387,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064023561264.234,2,-147955.61992032544,-112952.792626091,-378.58599999999933
1752754318.9996235,header,sensor_box/imu_link,45.429536999999996,90.1957109,10807.836,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064023561264.234,2,-147846.65682612482,-112819.03112595345,-378.1370000000006
1752754319.2496235,header,sensor_box/imu_link,45.6699857,90.6293147,10897.576000000001,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064025481368.305,2,-114585.96572795605,-86052.40428004903,-288.396999999999
1752754319.4996235,header,sensor_box/imu_link,45.6711764,90.630755,10898.02,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064023561264.234,2,-114475.48382399509,-85919.85616236123,-287.9529999999995
1752754319.7496238,header,sensor_box/imu_link,45.4176186,90.17215499999999,10803.387,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064025481368.305,2,-149653.5725252951,-114145.78134502454,-382.58599999999933
1752754319.9996238,header,sensor_box/imu_link,45.8967258,91.0429534,10982.189,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064025481368.305,2,-82856.74880931148,-60811.81180563307,-203.78399999999965
1752754320.2496238,header,sensor_box/imu_link,45.6457584,90.5823353,10888.534,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064023561264.234,2,-118189.64104486284,-88749.37497934508,-297.4390000000003
1752754320.4996238,header,sensor_box/imu_link,45.6469502,90.5837737,10888.979,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064025481368.305,2,-118079.30488527364,-88616.70441021722,-296.9940000000006
1752754320.7496238,header,sensor_box/imu_link,45.4224263,90.17783419999999,10805.182,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064027401472.508,2,-149217.9349296721,-113610.59062913728,-380.79099999999926
1752754320.9996238,header,sensor_box/imu_link,45.423628,90.1792542,10805.630000000001,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064025481368.305,2,-149109.01018925346,-113476.8179970509,-380.34299999999894
1752754321.2496238,header,sensor_box/imu_link,45.4248298,90.1806744,10806.079,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064027401472.508,2,-149000.0701073224,-113343.03423301566,-379.89400000000023
1752754321.4996238,header,sensor_box/imu_link,45.4260314,90.1820946,10806.527,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064027401472.508,2,-148891.13002539135,-113209.2727328781,-379.4459999999999
1752754321.7496238,header,sensor_box/imu_link,45.427233,90.183515,10806.976,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064027401472.508,2,-148782.17460194693,-113075.51123274125,-378.9969999999994
