unified_time_s,time_source,frame_id,latitude_deg,longitude_deg,altitude_m,status_code,service_code,cov_xx,cov_xy,cov_xz,cov_yx,cov_yy,cov_yz,cov_zx,cov_zy,cov_zz,covariance_type,x_local_m,y_local_m,z_local_m,dt_s,dx_m,dy_m,dz_m,step_distance_2d_m,step_distance_3d_m,speed_2d_mps,speed_3d_mps,speed_2d_kmph,speed_3d_kmph
1752754301.4996214,header,sensor_box/imu_link,46.4430076,92.1231174,11185.973,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064000520025.604,2,0.0,0.0,0.0,,,,,,,,,,
1752754301.7496214,header,sensor_box/imu_link,46.4441622,92.1246228,11186.404,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064002440128.104,2,115.4755663562318,128.52948407011766,0.4310000000004947,0.25,115.4755663562318,128.52948407011766,0.4310000000004947,172.78435895827818,172.78489650899215,691.1374358331127,691.1395860359686,2488.094768999206,2488.102509729487
1752754301.9996216,header,sensor_box/imu_link,46.4453168,92.1261283,11186.835,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064000520025.604,2,230.95880346866625,257.0589681402353,0.8620000000009895,0.2500002384185791,115.48323711243445,128.52948407011766,0.4310000000004948,172.789485586645,172.79002312140997,691.1572832076304,691.1594333446398,2488.1662195474696,2488.173960040703
1752754302.2496216,header,sensor_box/imu_link,46.4464713,92.127634,11187.265,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064002440128.104,2,346.45738209448183,385.5773202608048,1.2919999999994616,0.25,115.49857862581558,128.5183521205695,0.42999999999847205,172.79145955853951,172.79199459572885,691.1658382341581,691.1679783829154,2488.197017642969,2488.2047221784956
1752754302.4996216,header,sensor_box/imu_link,46.4476258,92.1291397,11187.696,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064002440128.104,2,461.9559607193216,514.0956723813741,1.7229999999999563,0.25,115.49857862483975,128.51835212056932,0.43100000000049477,172.79145955788712,172.79199708651132,691.1658382315485,691.1679883460453,2488.1970176335744,2488.204758045763
1752754302.7496216,header,sensor_box/imu_link,46.4487802,92.1306456,11188.126,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064002440128.104,2,577.4698808575424,642.6028925523954,2.1530000000002474,0.25,115.51392013822084,128.50722017102123,0.43000000000029104,172.79343558649035,172.79397061756117,691.1737423459614,691.1758824702447,2488.225472445461,2488.233176892881
1752754302.9996216,header,sensor_box/imu_link,46.2216836,91.6982808,11103.426,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064002440128.104,2,-32588.180545918956,-24637.67498033036,-82.54700000000048,0.25,-33165.6504267765,-25280.277872882758,-84.70000000000073,41701.95220323991,41702.0382193881,166807.80881295964,166808.1528775524,600508.1117266547,600509.3503591886
1752754303.2496216,header,sensor_box/imu_link,46.4510888,92.1336576,11188.987,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064002440128.104,2,808.5130626454137,899.595068998882,3.014000000001033,0.25,33396.69360856437,25537.270049329243,85.56100000000151,42041.542616282444,42041.62968108412,168166.17046512978,168166.5187243365,605398.2136744672,605399.4674076114
1752754303.4996216,header,sensor_box/imu_link,46.4522431,92.1351638,11189.418,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064002440128.104,2,924.0499950532184,1028.0911572210632,3.444999999999709,0.25,115.53693240780467,128.49608822218124,0.4309999999986758,172.8005423562328,172.80107985660337,691.2021694249312,691.2043194264135,2488.327809929752,2488.3355499350887
1752754303.7496216,header,sensor_box/imu_link,45.9181933,91.1294618,10990.199,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064002440128.104,2,-76220.90020789903,-58422.06063702848,-195.77399999999943,0.25,-77144.95020295226,-59450.15179424954,-199.21899999999914,97394.3729903083,97394.57674011041,389577.4919612332,389578.30696044164,1402478.9710604395,1402481.90505759
1752754303.999622,header,sensor_box/imu_link,45.9193727,91.1309225,10990.639,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064004360230.73,2,-76108.85346963954,-58290.770429587246,-195.33399999999887,0.2500004768371582,112.0467382594943,131.2902074412341,0.44000000000056616,172.6024047473091,172.6029655728832,690.4083021399052,690.4105454379229,2485.469887703659,2485.4779635765226
1752754304.249622,header,sensor_box/imu_link,45.920552,91.1323832,10991.079,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064004360230.73,2,-75996.80673138006,-58159.49135409414,-194.89400000000023,0.25,112.04673825947975,131.27907549310476,0.4399999999986335,172.5939373700961,172.594498223184,690.3757494803845,690.377992892736,2485.352698129384,2485.3607744138494
1752754304.499622,header,sensor_box/imu_link,45.9217313,91.1338441,10991.519,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064002440128.104,2,-75884.74465160817,-58028.21227860175,-194.45399999999967,0.25,112.06207977188751,131.2790754923917,0.44000000000056616,172.60389736311853,172.60445818384287,690.4155894524741,690.4178327353715,2485.496122028907,2485.5041978473373
1752754304.749622,header,sensor_box/imu_link,45.6337492,90.6056229,10884.052,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064006280333.492,2,-116403.30598502824,-90086.23300817964,-301.9210000000003,0.25,-40518.561333420075,-32058.02072957789,-107.46700000000061,51666.91887105491,51667.030636415126,206667.67548421965,206668.1225456605,744003.6317431908,744005.2411643778
1752754304.999622,header,sensor_box/imu_link,45.6349415,90.6070599,10884.497,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064004360230.73,2,-116293.07721602784,-89953.50677930689,-301.47600000000057,0.25,110.22876900040137,132.72622887275065,0.44499999999970896,172.53009403036225,172.53066791479606,690.120376121449,690.1226716591842,2484.4333540372163,2484.4416179730633
1752754305.249622,header,sensor_box/imu_link,45.6361338,90.608497,10884.942,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064006280333.492,2,-116182.8407762702,-89820.78055043412,-301.03099999999904,0.25,110.23643975764571,132.7262288727652,0.44500000000152795,172.5349949466099,172.5355688147424,690.1399797864397,690.1422752589696,2484.503927231183,2484.5121909322907
1752754305.499622,header,sensor_box/imu_link,45.6373261,90.6099342,10885.387,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064006280333.492,2,-116072.5966657564,-89688.05432156136,-300.58599999999933,0.25,110.24411051379866,132.7262288727652,0.44499999999970896,172.53989606396632,172.54046991579773,690.1595842558653,690.1618796631909,2484.574503321115,2484.5827667874873
1752754305.749622,header,sensor_box/imu_link,45.6385183,90.6113715,10885.832,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064006280333.492,2,-115962.3448844874,-89555.33922463673,-300.1409999999996,0.25,110.25178126900573,132.7150969246286,0.44499999999970896,172.5362345268444,172.53680839085396,690.1449381073776,690.1472335634159,2484.5217771865596,2484.530040828297
1752754305.999622,header,sensor_box/imu_link,45.3846858,90.1535781,10791.096,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064008200436.385,2,-151078.5612649268,-117811.8438714209,-394.8770000000004,0.25,-35116.21638043941,-28256.504646784175,-94.73600000000079,45073.03748064442,45073.137040162546,180292.1499225777,180292.54816065019,649051.7397212797,649053.1733783407
1752754306.249622,header,sensor_box/imu_link,45.3858892,90.1549947,10791.545,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064008200436.385,2,-150969.8973302249,-117677.88199619998,-394.4279999999999,0.25,108.66393470190815,133.96187522092077,0.44900000000052387,172.4924193047512,172.493003680167,689.9696772190048,689.972014720668,2483.8908379884174,2483.899252994405
1752754306.499622,header,sensor_box/imu_link,45.6420945,90.615684,10887.166,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064008200436.385,2,-115631.5435161382,-89157.23846166245,-298.8069999999989,0.25,35338.35381408669,28520.643534537536,95.621000000001,45411.742511312346,45411.84318313202,181646.97004524939,181647.37273252808,653929.0921628978,653930.5418371011
1752754306.749622,header,sensor_box/imu_link,45.6432865,90.6171217,10887.611,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064008200436.385,2,-115521.26105184338,-89024.5456286369,-298.3619999999992,0.25,110.28246429482533,132.69283302554686,0.4449999999996521,172.53871990740248,172.53929376314568,690.1548796296099,690.1571750525827,2484.557566666596,2484.5658301892977
1752754306.999622,header,sensor_box/imu_link,45.6444784,90.6185596,10888.056,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064008200436.385,2,-115410.9632460352,-88891.8639275602,-297.91699999999946,0.25,110.29780580817896,132.6817010766972,0.4449999999997658,172.5399657085418,172.5405395601416,690.1598628341673,690.1621582405664,2484.575506203002,2484.583769666039
1752754307.249622,header,sensor_box/imu_link,45.3730083,90.129061,10786.737,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064010120539.406,2,-152959.20827429977,-119111.7772251598,-399.23599999999897,0.25,-37548.24502826457,-30219.913297599604,-101.3189999999995,48198.691521835244,48198.79801361019,192794.76608734098,192795.19205444076,694061.1579144276,694062.6913959867
1752754307.499622,header,sensor_box/imu_link,45.6468621,90.6214355,10888.946,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064008200436.385,2,-115190.35996366356,-88626.51165735636,-297.02700000000004,0.25,37768.84831063621,30485.26556780345,102.20899999999892,48536.9685853098,48537.0762008903,194147.8743412392,194148.3048035612,698932.3476284611,698933.8972928203
1752754307.7496223,header,sensor_box/imu_link,45.6480539,90.6228737,10889.391,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064010120539.406,2,-115080.03914558578,-88493.84108822851,-296.58200000000033,0.2500002384185791,110.32081807778741,132.67056912784756,0.44499999999970896,172.54611793389975,172.54669176503862,690.1838135250224,690.1861088473889,2484.6617286900805,2484.6699918506
1752754307.9996223,header,sensor_box/imu_link,45.6492456,90.6243119,10889.835,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064010120539.406,2,-114969.71832750896,-88361.1816510502,-296.137999999999,0.25,110.32081807681243,132.65943717831396,0.4440000000013242,172.53755873317604,172.53813001653918,690.1502349327042,690.1525200661567,2484.540845757735,2484.549072238164
1752754308.2496223,header,sensor_box/imu_link,45.6504373,90.6257503,10890.28,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064008200436.385,2,-114859.3821679188,-88228.5222138719,-295.6929999999993,0.25,110.33615959016606,132.6594371782994,0.44499999999970896,172.54736852693455,172.54794235391438,690.1894741077382,690.1917694156575,2484.6821067878577,2484.690369896367
1752754308.4996223,header,sensor_box/imu_link,45.6516289,90.6271887,10890.725,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064010120539.406,2,-114749.0460083286,-88095.87390864313,-295.2479999999996,0.25,110.33615959019517,132.64830522876582,0.44499999999970896,172.53881010710847,172.53938396255168,690.1552404284339,690.1575358502067,2484.558865542362,2484.5671290607443
1752754308.7496223,header,sensor_box/imu_link,45.3802313,90.1375567,10789.433,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064010120539.406,2,-152307.5238255871,-118307.71654315946,-396.5399999999991,0.25,-37558.47781725849,-30211.84263451633,-101.29199999999952,48201.60465505559,48201.71108364869,192806.41862022236,192806.84433459476,694103.1070328006,694104.6396045411
1752754308.9996223,header,sensor_box/imu_link,45.3814349,90.138973,10789.882,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064012040642.56,2,-152198.88290315476,-118173.73240404086,-396.0910000000004,0.25,108.64092243232881,133.98413911860553,0.4489999999987049,172.49521605627538,172.49580042221643,689.9808642251015,689.9832016888657,2483.9311112103655,2483.9395260799165
1752754309.2496223,header,sensor_box/imu_link,45.1251709,89.68418849999999,10694.234,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064012040642.56,2,-187084.2938952525,-146700.91039268774,-491.7389999999996,0.25,-34885.41099209772,-28527.177988646887,-95.64799999999917,45064.30720740653,45064.40871267941,180257.2288296261,180257.63485071764,648926.023786654,648927.4854625835
1752754309.4996223,header,sensor_box/imu_link,45.1263856,89.6855842,10694.688,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064010120539.406,2,-186977.2331486311,-146565.69060722168,-491.2849999999999,0.25,107.06074662139872,135.2197854660626,0.45399999999966667,172.47142907919368,172.47202661480887,689.8857163167747,689.8881064592355,2483.588578740389,2483.5971832532477
1752754309.7496226,header,sensor_box/imu_link,45.1276003,89.6869801,10695.141,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064012040642.56,2,-186870.1570604973,-146430.47082175492,-490.83200000000033,0.2500002384185791,107.07608813379193,135.2197854667611,0.45299999999957663,172.48095266351143,172.48154753686688,689.9231526920547,689.9255321832072,2483.723349691397,2483.731915859546
1752754309.9996226,header,sensor_box/imu_link,45.128815,89.68837599999999,10695.594,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064012040642.56,2,-186763.08097236347,-146295.25103628886,-490.378999999999,0.25,107.07608813382103,135.2197854660626,0.4530000000013388,172.4809526629819,172.48154753633736,689.9238106519276,689.9261901453494,2483.7257183469396,2483.734284523258
1752754310.2496226,header,sensor_box/imu_link,45.1300296,89.6897721,10696.048,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-186655.9895427163,-146160.04238277095,-489.9249999999993,0.25,107.09142964717466,135.20865351791144,0.4539999999997235,172.48175059988924,172.48234809974727,689.927002399557,689.9293923989891,2483.7372086384053,2483.745812636361
1752754310.4996226,header,sensor_box/imu_link,45.1312441,89.6911683,10696.501,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-186548.8904423139,-146024.84486120258,-489.47199999999975,0.25,107.09910040241084,135.1975215683633,0.4529999999995198,172.47778739662027,172.47838228089265,689.9111495864811,689.9135291235706,2483.680138511332,2483.6887048448543
1752754310.7496226,header,sensor_box/imu_link,45.1324586,89.69256449999999,10696.954,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-186441.7913419115,-145889.6473396335,-489.0190000000002,0.25,107.09910040238174,135.1975215690909,0.45299999999957663,172.47778739717253,172.4783822814449,689.9111495886901,689.9135291257796,2483.6801385192844,2483.688704852807
1752754310.9996226,header,sensor_box/imu_link,45.1336731,89.6939609,10697.407,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064012040642.56,2,-186334.6768999957,-145754.44981806583,-488.5659999999989,0.25,107.11444191579358,135.1975215676648,0.45300000000128193,172.48731404068852,172.48790889210497,689.9492561627541,689.9516355684199,2483.8173221859147,2483.825888046312
1752754311.2496226,header,sensor_box/imu_link,44.8756928,89.2430782,10601.122,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-220920.79032014677,-174472.68544876165,-584.8510000000006,0.25,-34586.11342015106,-28718.235630695825,-96.28500000000167,44954.825094217864,44954.9282065153,179819.30037687146,179819.7128260612,647349.4813567372,647350.9661738203
1752754311.4996226,header,sensor_box/imu_link,45.1361018,89.69675389999999,10698.314,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-186120.43267465173,-145484.0881707756,-487.6589999999997,0.25,34800.35764549504,28988.59727798606,97.19200000000086,45292.42391835113,45292.528199301145,181169.69567340452,181170.11279720458,652210.9044242563,652212.4060699365
1752754311.7496228,header,sensor_box/imu_link,45.1373161,89.69815059999999,10698.767,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-186013.2952204673,-145348.9129131056,-487.2060000000001,0.2500002384185791,107.1374541844416,135.1752576699946,0.4529999999996335,172.48415688193728,172.4847517442419,689.935969553535,689.9383490004842,2483.769490392726,2483.778056401743
1752754311.9996228,header,sensor_box/imu_link,45.1385303,89.6995474,10699.22,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-185906.15009552572,-145213.74878738445,-486.7530000000006,0.25,107.14512494156952,135.16412572114496,0.45299999999946294,172.48019793792568,172.48079281388414,689.9207917517027,689.9231712555365,2483.71485030613,2483.7234165199316
1752754312.2496228,header,sensor_box/imu_link,45.1397445,89.70094429999999,10699.674,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-185798.99729982892,-145078.5846616633,-486.2989999999991,0.25,107.1527956968057,135.16412572114496,0.45400000000148566,172.48496313476969,172.4855606234993,689.9398525390787,689.9422424939972,2483.7834691406833,2483.79207297839
1752754312.4996228,header,sensor_box/imu_link,44.8818194,89.24995919999999,10603.409,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064015880849.262,2,-220392.9655745003,-173790.6754564677,-582.5640000000003,0.25,-34593.96827467138,-28712.09079480439,-96.26500000000118,44956.94383293932,44957.04689754751,179827.7753317573,179828.18759019003,647379.9911943263,647381.4753246842
1752754312.7496228,header,sensor_box/imu_link,45.3994832,90.1602302,10796.618,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064017800952.809,2,-150568.2948806039,-116164.6048383563,-389.3549999999996,0.25,69824.67069389639,57626.07061811139,193.20900000000069,90533.13565979384,90533.34182560763,362132.5426391754,362133.3673024305,1303677.1535010315,1303680.1222887498
1752754312.9996228,header,sensor_box/imu_link,45.1433868,89.70513559999999,10701.033,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064015880849.262,2,-185477.4928881984,-144673.1256803471,-484.9400000000005,0.25,-34909.1980075945,-28508.520841990787,-95.58500000000089,45070.920404753924,45071.02176148094,180283.6816190157,180284.08704592375,649021.2538284565,649022.7133653255
1752754313.2496228,header,sensor_box/imu_link,45.1446007,89.7065329,10701.486,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064013960745.846,2,-185370.3094094748,-144537.9949504732,-484.4869999999992,0.25,107.18347872360027,135.1307298738975,0.45300000000128193,172.47786022427553,172.4784551082967,689.9114408971021,689.9138204331869,2483.6811872295675,2483.6897535594726
1752754313.4996228,header,sensor_box/imu_link,45.4030914,90.1644845,10797.965,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064017800952.809,2,-150241.95789246226,-115762.941851676,-388.0079999999998,0.25,35128.35151701255,28775.053098797187,96.47899999999942,45409.302583737124,45409.40507580821,181637.2103349485,181637.62030323283,653893.9572058147,653895.4330916383
1752754313.749623,header,sensor_box/imu_link,45.404294,90.1659027,10798.414,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-150133.17122565917,-115629.06903204792,-387.5589999999993,0.2500002384185791,108.78666680309107,133.8728196280863,0.44900000000052387,172.50063973591773,172.5012240834855,690.0019009065797,690.0042382946218,2484.006843263687,2484.0152578606385
1752754313.999623,header,sensor_box/imu_link,45.4054966,90.1673211,10798.863,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064015880849.262,2,-150024.3692173427,-115495.19621241985,-387.1100000000006,0.25,108.8020083164738,133.87281962807174,0.4489999999987049,172.51031519555073,172.51089951034476,690.0412607822029,690.043598041379,2484.148538815931,2484.1569529489648
1752754314.249623,header,sensor_box/imu_link,45.1494561,89.7121231,10703.298,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064015880849.262,2,-184941.4987870195,-143997.49429487588,-482.6749999999993,0.25,-34917.12956967679,-28502.298082456036,-95.56499999999869,45073.12872839841,45073.230037750785,180292.51491359365,180292.92015100314,649053.0536889372,649054.5125436113
1752754314.499623,header,sensor_box/imu_link,45.1506698,89.71352089999999,10703.751,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-184834.2769545149,-143862.38582889966,-482.22199999999975,0.25,107.22183250458329,135.1084659762273,0.4529999999995198,172.48425709058287,172.48485195254187,689.9370283623315,689.9394078101675,2483.773302104393,2483.781868116603
1752754314.749623,header,sensor_box/imu_link,45.1518835,89.7149189,10704.204,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064017800952.809,2,-184727.03978049697,-143727.27736292413,-481.7690000000002,0.25,107.23717401793692,135.10846597552882,0.45299999999957663,172.4937942930525,172.49438912212165,689.97517717221,689.9775564884866,2483.9106378199563,2483.919203358552
1752754314.999623,header,sensor_box/imu_link,45.1530971,89.7163169,10704.657,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-184619.80260648,-143592.18002889745,-481.3159999999989,0.25,107.2371740169765,135.09733402667916,0.45300000000128193,172.48507515800728,172.48567001714497,689.9403006320291,689.9426800685799,2483.785082275305,2483.7936482468876
1752754315.249623,header,sensor_box/imu_link,45.1543107,89.717715,10705.11,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-184512.5577617058,-143457.08269487074,-480.8629999999994,0.25,107.24484477419173,135.09733402670827,0.4529999999995198,172.4898443148595,172.49043915755004,689.959377259438,689.9617566302002,2483.853758133977,2483.8623238687205
1752754315.499623,header,sensor_box/imu_link,45.1555242,89.7191132,10705.563,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-184405.30524617643,-143321.9964927929,-480.4099999999999,0.25,107.2525155293697,135.0862020778295,0.45299999999946294,172.4858953050651,172.48649016137432,689.9435812202604,689.9459606454973,2483.7968923929375,2483.8054583237904
1752754315.7496233,header,sensor_box/imu_link,45.1567376,89.7205116,10706.016,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-184298.0373891327,-143186.9214226639,-479.95700000000033,0.2500002384185791,107.26785704374197,135.07507012900896,0.45299999999957663,172.48671753243306,172.48731238590668,689.94621214575,689.9485915573753,2483.8063637247,2483.8149296065512
1752754315.9996233,header,sensor_box/imu_link,45.4327822,90.2103236,10809.047,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064021641160.293,2,-146725.75221041375,-112457.77711443084,-376.9259999999995,0.25,37572.28517871894,30729.144308233066,103.03100000000086,48538.20066161493,48538.31001234135,194152.80264645972,194153.2400493654,698950.089527255,698951.6641777155
1752754316.2496233,header,sensor_box/imu_link,45.1591644,89.7233085,10706.922,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-184083.49400429,-142916.77128240728,-479.0509999999995,0.25,-37357.74179387625,-30458.994167976445,-102.125,48201.153488923395,48201.261676209026,192804.61395569358,192805.0467048361,694096.6102404969,694098.16813741
1752754316.4996233,header,sensor_box/imu_link,45.1603777,89.7247072,10707.375,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-183976.2031349786,-142781.70734422782,-478.598,0.25,107.29086931140046,135.06393817946082,0.45299999999946294,172.4923129711618,172.49290780533914,689.9692518846472,689.9716312213566,2483.88930678473,2483.897872396884
1752754316.7496233,header,sensor_box/imu_link,45.1615909,89.7261059,10707.828,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064019721056.488,2,-183868.91226566723,-142646.6545379972,-478.1450000000005,0.25,107.29086931137135,135.05280623061117,0.4529999999995198,172.48359663560117,172.48419149983795,689.9343865424047,689.9367659993518,2483.763791552657,2483.7723575976665
