topic,unified_time_s,time_source,frame_id,height,width,distortion_model,d_len,k_00,k_11,k_02,k_12,p_00,p_11,p_02,p_12
/zed2i/zed_node/left/camera_info,1752754301.361158,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.361158,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.361158,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.361158,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.4942338,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.4942338,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.4942338,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.4942338,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.561218,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.561218,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.561218,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.561218,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.6277678,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.6277678,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.6277678,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.6277678,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.694253,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.694253,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.694253,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.694253,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.761191,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.761191,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.761191,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.761191,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.827775,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.827775,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.827775,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.827775,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.894281,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/left/camera_info,1752754301.894281,header_fallback,zed2i_left_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
/zed2i/zed_node/right/camera_info,1752754301.894281,header_fallback,zed2i_right_camera_optical_frame,576,1024,rational_polynomial,8,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375,756.9974365234375,756.9974365234375,534.0882568359375,288.16693115234375
