topic,unified_time_s,time_source,frame_id,height,width,estimated_point_count,field_count,field_names,is_bigendian,point_step,row_step,is_dense,data_length_bytes
/off_highway_premium_radar_sample_driver/locations,1752754302.236979,header,base_link,1,360,360,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,28800,True,28800
/off_highway_premium_radar_sample_driver/locations,1752754302.297072,header,base_link,1,415,415,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,33200,True,33200
/off_highway_premium_radar_sample_driver/locations,1752754302.366727,header,base_link,1,368,368,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,29440,True,29440
/off_highway_premium_radar_sample_driver/locations,1752754302.436979,header,base_link,1,387,387,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,30960,True,30960
/off_highway_premium_radar_sample_driver/locations,1752754302.497013,header,base_link,1,398,398,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,31840,True,31840
/off_highway_premium_radar_sample_driver/locations,1752754302.566999,header,base_link,1,393,393,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,31440,True,31440
/off_highway_premium_radar_sample_driver/locations,1752754302.627105,header,base_link,1,359,359,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,28720,True,28720
/off_highway_premium_radar_sample_driver/locations,1752754302.697151,header,base_link,1,405,405,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,32400,True,32400
/off_highway_premium_radar_sample_driver/locations,1752754302.766768,header,base_link,1,360,360,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,28800,True,28800
/off_highway_premium_radar_sample_driver/locations,1752754302.827128,header,base_link,1,416,416,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,33280,True,33280
/off_highway_premium_radar_sample_driver/locations,1752754302.896887,header,base_link,1,369,369,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,29520,True,29520
/off_highway_premium_radar_sample_driver/locations,1752754302.957423,header,base_link,1,409,409,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,32720,True,32720
/off_highway_premium_radar_sample_driver/locations,1752754303.026895,header,base_link,1,379,379,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,30320,True,30320
/off_highway_premium_radar_sample_driver/locations,1752754303.0971,header,base_link,1,409,409,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,32720,True,32720
